experiment, dataset, trainingset, accuracy, loss, n, stddev
0.05, mnist, font, 0.9707800000000001, 1.8546208860000004, 5, 0.016576851329489543
0.05, mnist, gan, 0.69692, 11.0760892, 5, 0.01753245561808157
0.05, mnist, mnist+gan, 0.09395562119999999, 112.09859100000001, 5, 0.000891034635049165
0.05, mnist, mnist, 0.67494091, 39.159734199999995, 5, 0.0012144183530810155
0.06, font, font, 0.8664999999999999, 6.03507704, 5, 0.06399187448418744
0.06, font, gan, 0.9954599999999999, 0.073403806, 5, 0.00021908902300209047
0.06, font, mnist+gan, 0.067568612, 146.81259999999997, 5, 0.006617481597716763
0.06, font, mnist, 0.5751416899999999, 55.1717048, 5, 0.0035688842152625396
0.06, gan, font, 0.2793, 146.72697620000002, 5, 0.3119382711370953
0.06, gan, gan, 0.10777999999999999, 289.437392, 5, 0.015820935496992584
0.06, gan, mnist+gan, 0.6764205600000001, 2.49892954, 5, 0.007093971479844672
0.06, gan, mnist, 0.31816264400000005, 122.50548, 5, 0.013069200990507422
0.06, mnist+font, font, 0.8044600000000001, 40.14674807, 5, 0.39128962802507294
0.06, mnist+font, gan, 0.9953199999999999, 0.0696965598, 5, 0.00048682645778551424
0.06, mnist+font, mnist+gan, 0.0804793172, 126.53970999999999, 5, 0.03400403939046492
0.06, mnist+font, mnist, 0.6731250799999999, 43.6081212, 5, 0.011596463538568542
0.06, mnist+gan, font, 0.9490000000000001, 5.707946430000001, 5, 0.018131464364468733
0.06, mnist+gan, gan, 0.56318, 93.963114, 5, 0.011045451552562233
0.06, mnist+gan, mnist+gan, 0.6738307080000001, 2.41640086, 5, 0.00994901518463611
0.06, mnist+gan, mnist, 0.8498747999999999, 5.33780782, 5, 0.003990496483120873
0.06, mnist, font, 0.97406, 1.5503206940000003, 5, 0.018629895329818694
0.06, mnist, gan, 0.72902, 11.025665, 5, 0.009653600364630789
0.06, mnist, mnist+gan, 0.096752994, 96.8288658, 5, 0.007337544944901396
0.06, mnist, mnist, 0.6804797779999999, 33.378119000000005, 5, 0.0020707424959347624
0.07, font, font, 0.86998, 5.462320852, 5, 0.06357516810831097
0.07, font, gan, 0.9956800000000001, 0.0639685092, 5, 0.00026832815729998453
0.07, font, mnist+gan, 0.052968750200000005, 161.01017, 5, 0.013718808777991975
0.07, font, mnist, 0.575661378, 59.453327200000004, 5, 0.006657124315064293
0.07, gan, font, 0.2408, 139.11574339999999, 5, 0.3404917766995262
0.07, gan, gan, 0.10435999999999998, 232.604608, 5, 0.019793761643507782
0.07, gan, mnist+gan, 0.6601172, 4.5421808, 5, 0.007882270097186452
0.07, gan, mnist, 0.281481482, 117.75157140000002, 5, 0.009672716272385426
0.07, mnist+font, font, 0.80252, 39.060479498, 5, 0.401888755752136
0.07, mnist+font, gan, 0.9953200000000001, 0.0669116532, 5, 0.0004868264577855074
0.07, mnist+font, mnist+gan, 0.04152343879999999, 143.77315800000002, 5, 0.002449595173426254
0.07, mnist+font, mnist, 0.663544974, 49.44217, 5, 0.0010356382953425217
0.07, mnist+gan, font, 0.9433, 3.8295920000000003, 5, 0.021316660151158767
0.07, mnist+gan, gan, 0.5367799999999999, 75.613486, 5, 0.00901204749210742
0.07, mnist+gan, mnist+gan, 0.66652345, 3.9505653799999996, 5, 0.003994610902240651
0.07, mnist+gan, mnist, 0.843055548, 4.457771559999999, 5, 0.0022257087681275883
0.07, mnist, font, 0.97272, 1.28625518, 5, 0.022953910342248886
0.07, mnist, gan, 0.69804, 12.0867382, 5, 0.015627795749881063
0.07, mnist, mnist+gan, 0.0405468754, 135.45030400000002, 5, 0.00035480274834871306
0.07, mnist, mnist, 0.6637566140000001, 46.5953034, 5, 0.0007123359057916483
0.08, font, font, 0.8763399999999999, 5.3098793, 5, 0.05955336262546389
0.08, font, gan, 0.9960000000000001, 0.06819320400000001, 5, 0.0004582575694956062
0.08, font, mnist+gan, 0.044132753799999994, 151.45793600000002, 5, 0.014556258545649436
0.08, font, mnist, 0.576829098, 55.557936000000005, 5, 0.009447360778514819
0.08, gan, font, 0.21933999999999995, 183.73125414, 5, 0.3431024526289487
0.08, gan, gan, 0.08352000000000001, 327.046488, 5, 0.0058298370474653945
0.08, gan, mnist+gan, 0.81058871, 1.28615958, 5, 0.004331280073546381
0.08, gan, mnist, 0.318536716, 154.66803, 5, 0.007006093109763819
0.08, mnist+font, font, 0.8019000000000001, 50.94091622, 5, 0.40154392661326604
0.08, mnist+font, gan, 0.9955999999999999, 0.0676243914, 5, 0.0006324555320336501
0.08, mnist+font, mnist+gan, 0.0723429468, 118.575839, 5, 0.028283666895503688
0.08, mnist+font, mnist, 0.676005842, 40.345766999999995, 5, 0.009601566950051411
0.08, mnist+gan, font, 0.95228, 4.086031428, 5, 0.016767587781192625
0.08, mnist+gan, gan, 0.53852, 93.960812, 5, 0.009443357453787311
0.08, mnist+gan, mnist+gan, 0.8102330999999999, 1.14020156, 5, 0.0062978026298701984
0.08, mnist+gan, mnist, 0.9005045760000001, 3.6461742, 5, 0.0020552508166960712
0.08, mnist, font, 0.9763, 1.237746802, 5, 0.01381665661439119
0.08, mnist, gan, 0.70774, 11.4825788, 5, 0.007867845956804162
0.08, mnist, mnist+gan, 0.0747135528, 107.9586818, 5, 0.030274041615818908
0.08, mnist, mnist, 0.67755942, 36.72039120000001, 5, 0.010009687163980215
0.09, font, font, 0.8711, 5.666926388, 5, 0.06310685382745682
0.09, font, gan, 0.9957, 0.0749183178, 5, 0.00023452078799114564
0.09, font, mnist+gan, 0.184624602, 102.34636480000002, 5, 0.0028749847906241162
0.09, font, mnist, 0.6249600240000001, 39.164176399999995, 5, 0.0041232462969218965
0.09, gan, font, 0.28375999999999996, 105.30234349999998, 5, 0.3197674905302289
0.09, gan, gan, 0.12464, 206.93945799999997, 5, 0.017794465431700945
0.09, gan, mnist+gan, 0.881190092, 1.14394996, 5, 0.0042756904330552205
0.09, gan, mnist, 0.385341154, 90.9086988, 5, 0.007144832837833232
0.09, mnist+font, font, 0.81038, 33.07028974999999, 5, 0.38487411188595166
0.09, mnist+font, gan, 0.99544, 0.06747515600000001, 5, 0.0002607680962081283
0.09, mnist+font, mnist+gan, 0.182987218, 110.8208936, 5, 0.00033412526134670285
0.09, mnist+font, mnist, 0.7156183359999999, 37.7035264, 5, 0.0009328312501358431
0.09, mnist+gan, font, 0.9574999999999999, 2.371302434, 5, 0.013771891663820207
0.09, mnist+gan, gan, 0.5644600000000001, 52.9095138, 5, 0.00660363536243484
0.09, mnist+gan, mnist+gan, 0.881509568, 1.047122028, 5, 0.0065204158202963
0.09, mnist+gan, mnist, 0.9283981779999999, 2.28013586, 5, 0.001695226261718441
0.09, mnist, font, 0.9784599999999999, 0.898820712, 5, 0.013866614583235523
0.09, mnist, gan, 0.72596, 10.063733199999998, 5, 0.009033714629099144
0.09, mnist, mnist+gan, 0.185103838, 93.511704, 5, 0.0014048754603949748
0.09, mnist, mnist, 0.717923774, 31.810583199999996, 5, 0.0008100476761771705
0.50, font, font, 0.86412, 6.407945239999999, 5, 0.0686785774459547
0.50, font, gan, 0.9941800000000001, 0.094530897, 5, 0.0005263078946776276
0.50, font, mnist+gan, 0.7594192339999999, 16.149048399999995, 5, 0.009504851966452703
0.50, font, mnist, 0.8198667079999999, 9.544176000000002, 5, 0.011959202856717513
0.50, gan, font, 0.8946, 4.04491182, 5, 0.026774708215030116
0.50, gan, gan, 0.62824, 17.694307200000004, 5, 0.00920478136622484
0.50, gan, mnist+gan, 0.99927408, 0.014393243, 5, 0.00025664440769280404
0.50, gan, mnist, 0.92588005, 2.6659197, 5, 0.003281896889567081
0.50, mnist+gan, font, 0.9730799999999998, 0.8320084919999999, 5, 0.0394594982228614
0.50, mnist+gan, gan, 0.79396, 5.75026332, 5, 0.00588115634888244
0.50, mnist+gan, mnist+gan, 0.9994192399999999, 0.0051668869, 5, 0.00032462675952543127
0.50, mnist+gan, mnist, 0.9925049040000001, 0.11650815699999999, 5, 0.00046580051361069964
0.50, mnist, font, 0.9915199999999998, 0.15115068, 5, 0.000923038460737169
0.50, mnist, gan, 0.78488, 7.3652812, 5, 0.008942426963637992
0.50, mnist, mnist+gan, 0.88856623, 9.5464928, 5, 0.00295998994246603
0.50, mnist, mnist, 0.9697687220000001, 2.2012462, 5, 0.0010140927040808358
