experiment, dataset, trainingset, accuracy, loss
0.7, mnist, mnist+gan, 0.833252732, 1.48502262
0.7, mnist, mnist, 0.96859447, 0.242676402
0.8, font, font, 0.8547799999999999, 0.9822988636000002
0.8, font, gan, 0.98812, 0.0402499534
0.8, font, mnist+gan, 0.7262681279999998, 2.1721353199999998
0.8, font, mnist, 0.8096722100000001, 1.34588514
0.8, gan, font, 0.7622, 1.3290832600000002
0.8, gan, gan, 0.7263400000000001, 1.45173526
0.8, gan, mnist+gan, 0.9673912920000001, 0.086207408
0.8, gan, mnist, 0.7704610859999999, 1.19635802
0.8, mnist+gan, font, 0.93958, 0.3061218642
0.8, mnist+gan, gan, 0.8267599999999999, 1.054653074
0.8, mnist+gan, mnist+gan, 0.96413043, 0.11696622799999998
0.8, mnist+gan, mnist, 0.98553675, 0.05334841659999999
0.8, mnist, font, 0.9902799999999999, 0.034445846
0.8, mnist, gan, 0.7823, 1.3502961
0.8, mnist, mnist+gan, 0.751630432, 3.05345364
0.8, mnist, mnist, 0.967615272, 0.35324808599999996
0.9, font, font, 0.8286000000000001, 0.8640192900000001
0.9, font, gan, 0.97894, 0.0691075956
0.9, font, mnist+gan, 0.7620253060000001, 1.36496606
0.9, font, mnist, 0.7878328299999999, 1.07024506
0.9, gan, font, 0.79782, 0.869594606
0.9, gan, gan, 0.74554, 1.2727932
0.9, gan, mnist+gan, 0.983001812, 0.0542851216
0.9, gan, mnist, 0.8103288120000001, 0.797524472
0.9, mnist+gan, font, 0.9551000000000001, 0.1936085392
0.9, mnist+gan, gan, 0.85778, 0.779004438
0.9, mnist+gan, mnist+gan, 0.967088604, 0.128146134
0.9, mnist+gan, mnist, 0.99003126, 0.039636913399999994
0.9, mnist, font, 0.99224, 0.029885072000000002
0.9, mnist, gan, 0.7771, 1.5057126
0.9, mnist, mnist+gan, 0.742495486, 2.4427002399999997
0.9, mnist, mnist, 0.97949398, 0.165261414
experiment, dataset, trainingset, accuracy, loss
0.1, font, gan, 0.99544, 0.016909240199999998
0.1, font, mnist+gan, 0.787966898, 3.1898885800000003
0.1, font, mnist, 0.8177890619999999, 2.3485114400000002
0.1, font, font, 0.830125, 1.9595409750000001
0.1, gan, font, 0.8189399999999999, 1.81261194
0.1, gan, gan, 0.73082, 2.67610856
0.1, gan, mnist+gan, 0.9920855960000001, 0.0228670814
0.1, gan, mnist, 0.8728014460000001, 1.2306782600000001
0.1, mnist+gan, font, 0.9371600000000001, 0.510621266
